frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1241.0,20.717863105175294,0.0009593935829033296,550:765,462:823,616:495:614:282:916:279:917:493,-0.9880568325449245,0.20810773288907408:-1.6661113424961818:-0.20838539497431607
1242.0,20.734557595993323,0.0009593935829033296,557:775,471:836,616:495:614:282:916:279:917:493,-0.9538544362473612,-0.0001388310426210038:-1.7910592808551986:-0.08343745661529904
1243.0,20.751252086811352,0.0009593935829033296,565:786,482:851,616:495:614:282:916:279:917:493,-0.9064253832066533,-0.0001388310426210038:-1.9160072192142157:-0.08343745661529904
1244.0,20.767946577629385,0.0009593935829033296,575:798,497:868,616:495:614:282:916:279:917:493,-0.8393996637734166,-0.0001388310426210038:-1.9160072192142157:-0.08343745661529904
1245.0,20.784641068447414,0.0009593935829033296,588:811,513:886,616:494:616:280:917:280:917:494,-0.7853981633974483,-0.04178814382896002:-2.0826044703595716:-0.08343745661529904
1246.0,20.801335559265443,0.0009593935829033296,602:824,532:905,616:495:615:281:915:279:917:493,-0.7126789348441943,-0.12508676940163804:-2.0826044703595716:-0.0001388310426210038
1247.0,20.818030050083472,0.0009593935829033296,620:837,554:923,616:495:614:282:916:279:917:493,-0.6545707673233914,-0.08343745661529904:-2.040955157573233:-0.0001388310426210038
1248.0,20.834724540901504,0.0009593935829033296,639:851,581:941,616:495:614:282:916:279:918:493,-0.5724598138180511,-0.08343745661529904:-1.9576565320005548:-0.0001388310426210038
1249.0,20.851419031719534,0.0009593935829033296,660:863,611:959,616:495:614:282:916:279:917:493,-0.47194617368547553,-0.16673608218797706:-1.8743579064278768:0.08315979453005704
1250.0,20.868113522537563,0.0009593935829033296,683:874,643:973,616:495:614:282:916:279:918:493,-0.383984623955019,-0.04178814382896002:-1.7494099680688597:-0.0001388310426210038
1251.0,20.884808013355592,0.0009593935829033296,710:883,678:987,616:495:614:282:916:279:917:493,-0.2984989315861793,-0.0001388310426210038:-1.6244620297098427:-0.0001388310426210038
1252.0,20.901502504173624,0.0009593935829033296,737:890,715:997,616:495:614:282:916:279:918:493,-0.20278150417940963,-0.0001388310426210038:-1.4995140913508256:-0.0001388310426210038
1253.0,20.918196994991654,0.0009593935829033296,767:895,753:1004,616:495:614:282:916:279:918:493,-0.12774098612131254,-0.0001388310426210038:-1.4995140913508256:-0.0001388310426210038
1254.0,20.934891485809683,0.0009593935829033296,797:897,792:1007,616:495:614:282:916:279:918:493,-0.04542327942157701,0.04151048174371801:-1.3745661529918085:-0.0001388310426210038
1255.0,20.95158597662771,0.0009593935829033296,826:896,831:1006,616:495:614:282:916:279:918:493,0.04542327942157701,0.08315979453005704:-1.2079689018464526:-0.0001388310426210038
1256.0,20.968280467445744,0.0009593935829033296,854:892,869:1002,616:495:614:282:916:279:918:493,0.13552771398550073,0.08315979453005704:-1.0413716507010964:-0.04178814382896002
1257.0,20.984974958263773,0.0009593935829033296,882:886,908:994,616:495:614:282:916:279:918:493,0.23624526071843754,0.08315979453005704:-0.9164237123420794:-0.0001388310426210038
1258.0,21.001669449081803,0.0009593935829033296,908:878,943:981,616:495:614:282:916:279:918:493,0.327564442378484,0.04151048174371801:-0.7914757739830623:-0.0001388310426210038
