frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1010.0,16.861435726210352,0.0009513564949536395,1380:267,1425:370,761:449:761:233:1070:233:1070:449,0.4119010172909708,0.7083333333333334:-0.875:-0.041666666666666664
1011.0,16.87813021702838,0.0009513564949536395,1366:269,1400:378,761:449:761:232:1071:232:1071:449,0.3023624023828033,0.5833333333333334:-1.0833333333333333:0.08333333333333333
1012.0,16.89482470784641,0.0009513564949536395,1319:283,1374:386,761:449:761:232:1071:232:1071:449,0.4904611045486414,0.4166666666666667:-2.625:0.125
1013.0,16.91151919866444,0.0009513564949536395,1341:283,1345:397,761:449:761:232:1070:232:1070:449,0.035073330533225366,0.16666666666666666:-3.875:-0.125
1014.0,16.928213689482472,0.0009513564949536395,1291:294,1320:407,761:449:761:232:1070:232:1070:449,0.251215588492064,0.16666666666666666:-3.875:-0.125
1015.0,16.9449081803005,0.0009513564949536395,1277:305,1295:420,761:449:761:232:1070:232:1070:449,0.15526199390710999,0.0:-3.7083333333333335:-0.3333333333333333
1016.0,16.96160267111853,0.0009513564949536395,1283:321,1271:435,761:449:761:232:1070:232:1070:449,-0.10487693873023389,-0.4583333333333333:-2.4166666666666665:-0.08333333333333333
1017.0,16.97829716193656,0.0009513564949536395,1265:339,1248:451,761:449:761:232:1070:232:1070:449,-0.15063590829718568,-0.4583333333333333:-1.125:0.08333333333333333
1018.0,16.994991652754592,0.0009513564949536395,1231:359,1227:469,762:449:762:232:1072:232:1072:449,-0.036347621019020664,-0.4166666666666667:-0.9583333333333334:0.0
1019.0,17.01168614357262,0.0009513564949536395,1225:380,1207:492,762:449:762:232:1072:232:1072:449,-0.15935164090391687,-0.4166666666666667:-0.9583333333333334:0.0
1020.0,17.02838063439065,0.0009513564949536395,1196:407,1187:517,761:449:761:232:1071:232:1071:449,-0.08163634212907003,-0.5833333333333334:-0.9166666666666666:0.125
1021.0,17.045075125208683,0.0009513564949536395,1176:434,1171:544,762:449:762:232:1072:232:1072:449,-0.04542327942157701,-0.2916666666666667:-0.5416666666666666:0.0
1022.0,17.061769616026712,0.0009513564949536395,1186:466,1158:572,762:449:762:232:1073:232:1073:449,-0.25825221981103874,-0.3333333333333333:-0.5833333333333334:0.0
1023.0,17.07846410684474,0.0009513564949536395,1162:490,1148:599,762:449:762:232:1072:232:1072:449,-0.12774098612131254,-0.3333333333333333:-1.0416666666666667:-0.041666666666666664
1024.0,17.09515859766277,0.0009513564949536395,1137:511,1141:622,762:449:762:232:1070:232:1070:449,0.0360204494291893,-0.3333333333333333:-1.0416666666666667:-0.041666666666666664
1025.0,17.111853088480803,0.0009513564949536395,1110:529,1133:633,762:450:762:233:1033:233:1033:450,0.21765061628704285,0.125:-1.2083333333333333:-0.2916666666666667
