frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1518.0,25.342237061769616,0.0009580615166944796,544:859,582:752,824:434:519:415:533:197:838:216,-0.34124669110708716,-0.056637921856701544:0.8057063770893217:-0.12051527733418474
1519.0,25.358931552587645,0.0009580615166944796,568:868,599:756,824:434:519:415:533:197:838:216,-0.27002561614486076,-0.12051527733418474:0.7418290216118384:-0.056637921856701544
1520.0,25.375626043405678,0.0009580615166944796,593:873,619:764,824:434:519:415:533:197:838:216,-0.23415657480980062,-0.12051527733418474:0.7418290216118384:-0.056637921856701544
1521.0,25.392320534223707,0.0009580615166944796,617:883,639:772,824:434:519:415:533:197:838:216,-0.19566245933205176,-0.12051527733418474:0.7418290216118384:-0.08857659959544315
1522.0,25.409015025041736,0.0009580615166944796,640:891,640:780,824:434:519:415:533:197:838:216,0.0,-0.12051527733418474:0.7418290216118384:-0.08857659959544315
1523.0,25.42570951585977,0.0009580615166944796,662:899,692:795,824:434:519:415:533:196:838:216,-0.2808377246212029,-0.056637921856701544:0.8376450548280633:-0.18439263281166796
1524.0,25.442404006677798,0.0009580615166944796,683:907,713:805,824:433:519:414:533:196:838:216,-0.2860514417173182,-0.056637921856701544:0.8376450548280633:-0.18439263281166796
1525.0,25.459098497495827,0.0009580615166944796,703:913,738:812,824:434:519:415:533:197:838:216,-0.3335843214997931,0.03917811135952325:0.9334610880442881:-0.24826998828915114
1526.0,25.475792988313856,0.0009580615166944796,721:919,761:820,824:434:519:415:533:196:838:216,-0.383984623955019,0.19887150005323126:0.9334610880442881:-0.31214734376663433
1527.0,25.49248747913189,0.0009580615166944796,737:924,783:828,824:434:519:415:533:197:838:216,-0.44684246848576414,0.29468753326945607:0.9015224103055465:-0.31214734376663433
1528.0,25.509181969949918,0.0009580615166944796,760:929,805:833,824:434:519:415:533:197:838:216,-0.43833655985795783,0.29468753326945607:0.9015224103055465:-0.31214734376663433
1529.0,25.525876460767947,0.0009580615166944796,784:935,826:836,824:434:519:415:533:197:838:216,-0.40122879900484876,0.16693282231448964:0.9015224103055465:-0.24826998828915114
1530.0,25.542570951585976,0.0009580615166944796,814:941,809:844,824:433:519:414:533:197:838:216,0.051500810951225474,0.10305546683700645:0.9015224103055465:-0.18439263281166796
1531.0,25.55926544240401,0.0009580615166944796,842:947,843:842,824:434:519:415:533:197:838:216,-0.009523521593612855,-0.024699244117959946:0.9015224103055465:-0.056637921856701544
1532.0,25.575959933222038,0.0009580615166944796,868:950,859:848,824:434:519:414:533:196:838:216,0.08800737352774077,-0.08857659959544315:0.8376450548280633:0.03917811135952325
1533.0,25.592654424040067,0.0009580615166944796,892:953,875:847,824:433:519:414:533:196:838:216,0.15902317975626118,-0.15245395507292633:0.8057063770893217:0.07111678909826485
1534.0,25.609348914858096,0.0009580615166944796,916:954,890:845,824:433:519:414:533:197:838:216,0.23415657480980062,-0.15245395507292633:0.8376450548280633:0.0072394336207816535
1535.0,25.62604340567613,0.0009580615166944796,935:955,905:846,824:433:519:414:533:197:838:216,0.2685794305188804,-0.15245395507292633:0.8376450548280633:0.0072394336207816535
1536.0,25.642737896494157,0.0009580615166944796,954:954,921:848,824:433:519:414:533:197:838:216,0.30181017776238317,-0.18439263281166796:0.9015224103055465:-0.024699244117959946
1537.0,25.659432387312187,0.0009580615166944796,969:954,934:855,824:433:519:414:533:197:838:216,0.3398208764228665,-0.12051527733418474:0.9973384435217713:-0.15245395507292633
1538.0,25.67612687813022,0.0009580615166944796,985:952,950:854,824:434:519:415:533:197:838:216,0.3430239404207034,-0.024699244117959946:1.0612157989992543:-0.31214734376663433
1539.0,25.69282136894825,0.0009580615166944796,1002:948,964:857,824:434:519:415:533:197:838:216,0.39557115074280663,0.10305546683700645:1.0612157989992543:-0.4079633769828591
1540.0,25.709515859766277,0.0009580615166944796,1023:943,976:859,824:433:519:414:533:197:838:216,0.510125740351809,0.13499414457574804:1.0292771212605127:-0.4399020547216007
1541.0,25.726210350584306,0.0009580615166944796,1034:941,990:850,825:433:519:414:533:197:838:216,0.4503740523166315,0.16693282231448964:0.9653997657830297:-0.4079633769828591
1542.0,25.74290484140234,0.0009580615166944796,1043:936,998:840,824:433:519:414:533:197:838:216,0.43833655985795783,0.13499414457574804:0.9334610880442881:-0.3440860215053759
1543.0,25.75959933222037,0.0009580615166944796,1052:931,1003:835,824:433:519:414:533:197:838:216,0.47194617368547553,0.03917811135952325:0.9653997657830297:-0.24826998828915114
