frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
463.0,7.729549248747913,0.0009571091706762501,755:790,713:885,717:433:715:215:1020:211:1022:430,-0.4162692978569417,-0.041666666666666664:0.6666666666666666:0.041666666666666664
464.0,7.746243739565943,0.0009571091706762501,716:765,652:846,717:433:715:215:1020:211:1022:430,-0.6686895788732506,-0.08333333333333333:0.6666666666666666:0.08333333333333333
465.0,7.762938230383973,0.0009571091706762501,681:733,605:803,717:433:715:215:1020:211:1022:430,-0.8264709419879024,-0.08333333333333333:0.6666666666666666:0.08333333333333333
466.0,7.779632721202003,0.0009571091706762501,652:697,565:753,717:433:715:215:1019:211:1022:430,-0.9988781269336344,-0.08333333333333333:0.5833333333333334:0.041666666666666664
467.0,7.796327212020033,0.0009571091706762501,629:659,535:702,717:433:715:215:1019:211:1022:430,-1.1417669167498516,0.0:0.5:0.0
468.0,7.813021702838063,0.0009571091706762501,615:622,514:648,717:434:715:215:1019:211:1022:430,-1.3188410326762603,0.0:0.4166666666666667:0.0
469.0,7.829716193656093,0.0009571091706762501,606:586,502:600,717:434:715:215:1019:211:1022:430,-1.4369853493203057,0.0:0.4166666666666667:0.0
470.0,7.846410684474124,0.0009571091706762501,600:551,499:555,717:434:715:215:1019:211:1022:430,-1.5312130528577999,0.041666666666666664:0.08333333333333333:-0.041666666666666664
471.0,7.863105175292154,0.0009571091706762501,599:519,497:507,717:434:715:215:1019:211:1022:430,-1.687905071361761,0.041666666666666664:-0.5416666666666666:-0.041666666666666664
472.0,7.879799666110184,0.0009571091706762501,601:490,500:469,717:434:715:215:1019:211:1022:430,-1.7757963027984707,0.0:-0.625:-0.041666666666666664
473.0,7.896494156928214,0.0009571091706762501,605:464,506:434,717:434:715:215:1019:211:1022:430,-1.8650308919060843,0.0:-0.625:-0.041666666666666664
474.0,7.913188647746244,0.0009571091706762501,611:441,515:404,717:434:715:215:1019:211:1022:430,-1.93866799720605,-0.08333333333333333:-0.7083333333333334:0.0
475.0,7.929883138564274,0.0009571091706762501,618:423,524:377,717:433:715:215:1019:211:1022:430,-2.0258971353630915,-0.08333333333333333:-1.2083333333333333:-0.041666666666666664
476.0,7.946577629382304,0.0009571091706762501,625:407,534:355,717:433:714:215:1019:211:1022:430,-2.0899424410414196,-0.125:-1.5833333333333333:-0.041666666666666664
477.0,7.963272120200334,0.0009571091706762501,632:394,544:336,717:433:715:215:1019:211:1022:430,-2.1535358210448687,-0.125:-2.0416666666666665:-0.041666666666666664
478.0,7.979966611018364,0.0009571091706762501,638:384,553:321,717:434:714:215:1019:211:1022:430,-2.20862641887835,-0.16666666666666666:-2.5:-0.08333333333333333
479.0,7.996661101836394,0.0009571091706762501,643:375,560:308,716:433:715:215:1019:212:1021:430,-2.2499296273012663,-0.20833333333333334:-3.0:-0.08333333333333333
480.0,8.013355592654424,0.0009571091706762501,647:368,566:298,716:431:716:213:1021:213:1021:431,-2.283475261639091,-0.25:-3.2083333333333335:-0.08333333333333333
481.0,8.030050083472455,0.0009571091706762501,651:363,570:291,717:435:714:215:1019:211:1022:431,-2.297438667476622,-0.25:-3.2083333333333335:-0.08333333333333333
482.0,8.046744574290484,0.0009571091706762501,653:360,573:287,716:431:716:213:1021:213:1021:431,-2.3104747387960565,-0.25:-3.625:-0.08333333333333333
483.0,8.063439065108515,0.0009571091706762501,654:358,574:285,716:432:715:213:1020:212:1021:430,-2.3104747387960565,-0.2916666666666667:-3.9166666666666665:-0.08333333333333333
484.0,8.080133555926544,0.0009571091706762501,653:359,574:286,716:432:715:214:1020:212:1021:430,-2.3167412890953054,-0.25:-4.166666666666667:-0.08333333333333333
485.0,8.096828046744575,0.0009571091706762501,652:361,571:289,716:434:715:215:1019:212:1021:432,-2.297438667476622,-0.20833333333333334:-4.25:-0.125
486.0,8.113522537562604,0.0009571091706762501,649:365,567:295,716:432:715:214:1020:212:1021:430,-2.277410529203201,-0.20833333333333334:-4.291666666666667:-0.125
487.0,8.130217028380635,0.0009571091706762501,645:371,560:303,716:433:715:215:1019:212:1021:430,-2.2455372690184494,-0.20833333333333334:-4.291666666666667:-0.125
488.0,8.146911519198664,0.0009571091706762501,641:379,553:315,716:433:715:215:1019:212:1021:430,-2.1995926132103296,-0.125:-3.8333333333333335:-0.125
489.0,8.163606010016695,0.0009571091706762501,635:388,544:329,716:433:715:215:1019:212:1021:430,-2.1460119035301752,0.0:-3.6666666666666665:-0.20833333333333334
490.0,8.180300500834726,0.0009571091706762501,629:401,535:347,716:431:716:213:1021:213:1021:431,-2.09223076656664,0.0:-3.6666666666666665:-0.20833333333333334
491.0,8.196994991652755,0.0009571091706762501,622:416,525:368,716:431:716:213:1021:213:1021:431,-2.03031172791025,0.0:-3.3333333333333335:-0.16666666666666666
492.0,8.213689482470786,0.0009571091706762501,616:434,515:393,716:431:716:213:1021:213:1021:431,-1.956413391949548,-0.041666666666666664:-2.9166666666666665:-0.125
493.0,8.230383973288815,0.0009571091706762501,609:455,506:421,716:433:715:215:1019:212:1021:430,-1.8896314375567638,-0.25:-2.4583333333333335:0.041666666666666664
494.0,8.247078464106846,0.0009571091706762501,604:478,498:454,716:433:715:215:1019:212:1021:430,-1.7934572674312617,-0.4166666666666667:-1.7083333333333333:0.20833333333333334
495.0,8.263772954924875,0.0009571091706762501,600:505,493:490,716:433:715:215:1019:212:1021:430,-1.710075586331743,-0.20833333333333334:-1.5833333333333333:0.08333333333333333
496.0,8.280467445742905,0.0009571091706762501,600:535,492:534,716:433:715:215:1019:212:1021:430,-1.5800553214570197,0.0:-1.1666666666666667:-0.041666666666666664
497.0,8.297161936560935,0.0009571091706762501,603:567,494:578,716:433:715:215:1019:212:1021:430,-1.4702194093400487,0.041666666666666664:-0.7916666666666666:-0.041666666666666664
498.0,8.313856427378965,0.0009571091706762501,610:602,502:623,717:433:714:215:1019:212:1021:430,-1.3787483095541666,0.041666666666666664:-0.7916666666666666:-0.041666666666666664
499.0,8.330550918196995,0.0009571091706762501,621:637,517:674,717:433:715:215:1019:212:1021:430,-1.2289911548140078,0.041666666666666664:-0.4583333333333333:0.0
500.0,8.347245409015025,0.0009571091706762501,638:674,541:724,717:433:714:215:1019:212:1021:430,-1.0948542553159382,0.08333333333333333:-0.20833333333333334:0.0
501.0,8.363939899833055,0.0009571091706762501,662:710,572:773,717:433:714:215:1019:212:1021:430,-0.960070362405688,0.08333333333333333:-0.08333333333333333:0.0
502.0,8.380634390651085,0.0009571091706762501,691:744,612:818,717:434:714:215:1019:211:1022:430,-0.818066275799364,0.16666666666666666:0.125:-0.041666666666666664
503.0,8.397328881469116,0.0009571091706762501,727:774,658:857,717:431:717:213:1021:213:1021:431,-0.6935520371327109,0.125:0.375:0.0
504.0,8.414023372287145,0.0009571091706762501,769:798,717:894,717:431:717:213:1021:213:1021:431,-0.4964227534048819,0.08333333333333333:0.4583333333333333:0.0
505.0,8.430717863105176,0.0009571091706762501,811:816,774:917,716:431:716:213:1020:213:1020:431,-0.3511538426006473,0.08333333333333333:0.5416666666666666:0.041666666666666664
506.0,8.447412353923205,0.0009571091706762501,858:825,840:930,716:431:716:213:1020:213:1020:431,-0.16977827396833844,0.08333333333333333:0.5416666666666666:0.041666666666666664
507.0,8.464106844741236,0.0009571091706762501,910:829,909:935,716:431:716:213:1020:213:1020:431,-0.009433682406000813,0.08333333333333333:0.5416666666666666:0.041666666666666664
508.0,8.480801335559265,0.0009571091706762501,960:822,976:928,717:433:714:215:1019:212:1021:430,0.14981245657289735,0.0:0.6666666666666666:0.08333333333333333
509.0,8.497495826377296,0.0009571091706762501,1009:808,1043:908,717:433:714:215:1019:212:1021:430,0.32773850678055544,-0.08333333333333333:0.7083333333333334:0.125
510.0,8.514190317195325,0.0009571091706762501,1053:787,1103:879,717:433:714:215:1019:212:1021:430,0.4978223326170012,0.08333333333333333:0.6666666666666666:0.041666666666666664
511.0,8.530884808013356,0.0009571091706762501,1091:760,1158:840,717:433:715:215:1019:212:1021:430,0.6971922590007653,0.125:0.625:0.0
512.0,8.547579298831385,0.0009571091706762501,1124:728,1201:799,717:433:714:215:1019:212:1021:430,0.8259165158757953,0.08333333333333333:0.5833333333333334:0.0
513.0,8.564273789649416,0.0009571091706762501,1151:693,1238:751,717:433:714:215:1019:212:1021:430,0.982793723247329,0.08333333333333333:0.5:0.041666666666666664
514.0,8.580968280467445,0.0009571091706762501,1171:657,1266:700,717:433:714:215:1019:212:1021:430,1.1457561339222415,0.08333333333333333:0.5:0.041666666666666664
515.0,8.597662771285476,0.0009571091706762501,1185:622,1284:652,717:433:714:215:1019:212:1021:430,1.2765617616837088,0.041666666666666664:0.375:0.041666666666666664
516.0,8.614357262103505,0.0009571091706762501,1194:588,1296:604,717:431:717:213:1021:213:1021:431,1.415201498817867,0.0:0.125:0.08333333333333333
517.0,8.631051752921536,0.0009571091706762501,1199:555,1302:562,717:432:717:213:1021:213:1021:432,1.5029395039385927,0.041666666666666664:0.0:0.041666666666666664
