frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
110.0,1.8333333333333333,0.0009976802131877456,887:434,997:354,513:508:483:299:776:256:806:466,2.1995926132103296
111.0,1.85,0.0009976802131877456,887:434,997:354,513:508:483:299:776:256:806:466,2.1995926132103296
112.0,1.8666666666666667,0.0009976802131877456,887:434,998:355,513:508:483:299:776:257:806:466,2.189339329792556
113.0,1.8833333333333333,0.0009976802131877456,887:434,998:355,513:508:483:298:776:256:806:466,2.189339329792556
114.0,1.9,0.0009976802131877456,888:434,998:355,513:509:483:300:776:257:806:466,2.19362091438188
115.0,1.9166666666666667,0.0009976802131877456,888:435,998:355,513:508:483:298:776:257:806:466,2.1995926132103296
116.0,1.9333333333333333,0.0009976802131877456,888:435,998:355,513:508:483:299:776:256:806:466,2.1995926132103296
117.0,1.95,0.0009976802131877456,888:436,999:356,513:509:483:299:776:257:806:466,2.1952938755842046
118.0,1.9666666666666666,0.0009976802131877456,890:438,1005:366,513:507:483:298:776:256:806:466,2.1301768919795134
119.0,1.9833333333333334,0.0009976802131877456,892:440,1008:371,513:507:483:297:776:256:806:466,2.107403901437515
120.0,2.0,0.0009976802131877456,895:445,1014:380,513:508:483:299:776:257:806:465,2.0707316299256
121.0,2.0166666666666666,0.0009976802131877456,899:451,1017:386,513:508:483:300:776:257:806:465,2.074289944135109
122.0,2.033333333333333,0.0009976802131877456,904:458,1023:397,513:508:483:300:776:257:806:465,2.0444770439430786
123.0,2.05,0.0009976802131877456,910:469,1031:413,513:508:483:300:776:257:806:465,2.00425177091874
124.0,2.066666666666667,0.0009976802131877456,916:481,1040:431,513:508:483:300:776:257:806:465,1.9540804745405822
125.0,2.0833333333333335,0.0009976802131877456,922:495,1050:452,513:508:483:300:776:257:806:465,1.8948887972847683
126.0,2.1,0.0009976802131877456,930:512,1060:477,513:508:483:299:776:257:806:465,1.8337910584758161
127.0,2.1166666666666667,0.0009976802131877456,936:532,1068:504,513:508:483:299:776:257:806:465,1.7798192696011612
128.0,2.1333333333333333,0.0009976802131877456,940:554,1074:538,513:507:483:299:776:257:806:465,1.6896366713626618
129.0,2.15,0.0009976802131877456,943:579,1078:575,513:508:483:300:776:257:806:465,1.6004172902240228
130.0,2.1666666666666665,0.0009976802131877456,944:606,1078:616,513:508:483:300:776:257:806:465,1.4963075365810148
131.0,2.183333333333333,0.0009976802131877456,941:636,1074:657,513:508:483:300:776:257:806:465,1.4141944498128813
132.0,2.2,0.0009976802131877456,934:668,1066:703,513:508:483:300:776:257:806:465,1.3116090284426076
133.0,2.216666666666667,0.0009976802131877456,923:702,1049:751,513:508:483:299:776:257:806:465,1.1999050379822342
134.0,2.2333333333333334,0.0009976802131877456,906:735,1024:801,513:508:483:300:776:257:806:465,1.0608242670934838
135.0,2.25,0.0009976802131877456,884:769,988:852,513:508:483:300:776:257:806:465,0.8972290929525679
136.0,2.2666666666666666,0.0009976802131877456,855:797,951:890,513:507:483:299:776:257:806:465,0.8012698463892384
137.0,2.283333333333333,0.0009976802131877456,824:821,900:929,513:508:483:300:776:257:806:465,0.6132073488745093
138.0,2.3,0.0009976802131877456,785:843,841:962,513:508:483:300:776:257:806:465,0.4398425828157362
139.0,2.316666666666667,0.0009976802131877456,740:858,780:982,513:508:483:300:776:257:806:465,0.3120421215625333
140.0,2.3333333333333335,0.0009976802131877456,695:866,712:994,513:508:483:300:776:257:806:465,0.13203976161463876
141.0,2.35,0.0009976802131877456,647:865,643:993,513:508:483:300:776:257:806:465,-0.031239833430268277
142.0,2.3666666666666667,0.0009976802131877456,600:856,575:981,513:508:483:300:776:257:806:465,-0.19739555984988075
143.0,2.3833333333333333,0.0009976802131877456,558:841,514:959,513:507:483:299:776:257:806:465,-0.35691193635167046
144.0,2.4,0.0009976802131877456,522:822,458:928,513:508:483:300:776:257:806:465,-0.5431895762878278
145.0,2.4166666666666665,0.0009976802131877456,491:796,408:887,513:507:483:299:776:257:806:465,-0.7394535075893286
146.0,2.433333333333333,0.0009976802131877456,464:766,367:844,513:508:483:300:776:257:806:465,-0.8935459795501112
147.0,2.45,0.0009976802131877456,442:735,335:797,513:508:483:300:776:257:806:465,-1.045632231036215
148.0,2.466666666666667,0.0009976802131877456,425:703,311:747,513:508:483:300:776:257:806:465,-1.2024474053859335
149.0,2.4833333333333334,0.0009976802131877456,414:672,295:700,513:508:483:300:776:257:806:465,-1.3397056595989996
150.0,2.5,0.0009976802131877456,407:642,286:657,513:508:483:300:776:257:806:465,-1.4474586258951727
