time,m_per_pixel,g_center,r_center,rect_points,angle
1.8,0.0010003440694441492,887:433,997:354,513:507:483:298:776:256:806:465,125.68522024571024
1.8166666666666667,0.0010003440694441492,887:434,997:355,513:508:483:299:776:257:806:466,125.68522024571024
1.8333333333333333,0.0010003440694441492,887:434,997:354,513:508:482:300:776:256:807:465,126.02737338510362
1.85,0.0010003440694441492,887:434,997:354,513:508:483:299:776:256:806:465,126.02737338510362
1.8666666666666667,0.0010003440694441492,887:434,998:355,513:508:483:299:776:257:806:466,125.4399035191137
1.8833333333333333,0.0010003440694441492,887:434,998:355,513:507:483:298:776:256:806:465,125.4399035191137
1.9,0.0010003440694441492,888:434,998:355,513:509:483:300:776:257:806:466,125.68522024571024
1.9166666666666667,0.0010003440694441492,888:435,998:355,513:508:483:298:776:257:806:466,126.02737338510362
1.9333333333333333,0.0010003440694441492,888:435,999:356,513:508:483:299:776:256:806:465,125.4399035191137
1.95,0.0010003440694441492,889:436,1000:357,513:509:483:299:776:257:806:466,125.4399035191137
1.9666666666666666,0.0010003440694441492,890:438,1005:367,513:507:483:298:776:256:806:466,121.69082130459954
1.9833333333333334,0.0010003440694441492,892:440,1009:371,513:507:483:297:776:256:806:466,120.52970589993411
2.0,0.0010003440694441492,895:445,1014:380,513:508:483:299:776:257:806:465,118.64418289898276
2.0166666666666666,0.00100037622748855,899:451,1017:386,513:508:483:300:776:257:806:465,118.84805928536906
2.033333333333333,0.0010010072783428366,904:459,1023:397,513:508:483:300:776:257:806:465,117.51989243095016
2.05,0.001001606171152722,910:469,1031:413,513:508:483:300:776:257:806:465,114.8351675552649
2.066666666666667,0.001001606171152722,916:481,1041:431,513:508:483:300:776:257:806:465,111.80140948635182
2.0833333333333335,0.001001606171152722,922:495,1050:452,513:508:483:300:776:257:806:465,108.56913073103783
2.1,0.001001606171152722,930:512,1060:477,513:508:483:299:776:257:806:465,105.06848815949222
2.1166666666666667,0.001001606171152722,936:532,1068:504,513:508:483:299:776:257:806:465,101.97613244420336
2.1333333333333333,0.001001606171152722,940:554,1074:538,513:507:483:299:776:257:806:465,96.80905017961341
2.15,0.001001606171152722,943:579,1078:575,513:508:483:300:776:257:806:465,91.69715618960029
2.1666666666666665,0.001001606171152722,944:606,1078:616,513:508:483:300:776:257:806:465,85.73210669970919
2.183333333333333,0.001001606171152722,941:636,1074:657,513:508:483:300:776:257:806:465,81.02737338510362
2.2,0.001001606171152722,934:668,1066:703,513:508:483:300:776:257:806:465,75.14966170101577
2.216666666666667,0.001001606171152722,923:702,1049:751,513:508:483:299:776:257:806:465,68.74949449286676
2.2333333333333334,0.001001606171152722,906:735,1024:801,513:508:483:300:776:257:806:465,60.7807533095154
2.25,0.001001606171152722,884:769,988:852,513:508:483:300:776:257:806:465,51.40744028253317
2.2666666666666666,0.001001606171152722,854:797,951:890,513:507:483:299:776:257:806:465,46.20604877921996
2.283333333333333,0.001001606171152722,824:821,899:930,513:508:483:300:776:257:806:465,34.530825742288584
2.3,0.0010016308552390704,785:843,841:962,513:508:483:300:776:257:806:465,25.20112364547507
2.316666666666667,0.0010016308552390704,740:858,780:982,513:508:483:300:776:257:806:465,17.87869659584134
2.3333333333333335,0.0010022604890107566,695:866,712:994,513:508:483:300:776:257:806:465,7.565321068432294
2.35,0.0010022604890107566,647:865,643:993,513:508:483:300:776:257:806:465,-1.7899106082460694
2.3666666666666667,0.0010028654386960943,600:856,575:981,513:508:483:300:776:257:806:465,-11.309932474020213
2.3833333333333333,0.0010022604890107566,558:841,514:959,513:507:483:299:776:257:806:465,-20.44954761079258
2.4,0.0010022604890107566,523:822,456:927,513:508:483:300:776:257:806:465,-32.541753559995115
2.4166666666666665,0.0010022604890107566,491:796,408:887,513:507:483:299:776:257:806:465,-42.36756513101352
2.433333333333333,0.0010028654386960943,464:766,367:844,513:508:483:300:776:257:806:465,-51.19641342910433
2.45,0.0010028654386960943,442:735,335:797,513:508:483:300:776:257:806:465,-59.91031376122333
2.466666666666667,0.0010028654386960943,425:703,311:747,513:508:483:300:776:257:806:465,-68.89516141507036
2.4833333333333334,0.0010028654386960943,414:672,295:700,513:508:483:300:776:257:806:465,-76.7594800848128
2.5,0.0010028654386960943,407:642,286:657,513:508:483:300:776:257:806:465,-82.93327028359893
2.5166666666666666,0.0010028654386960943,404:614,283:621,513:508:483:300:776:257:806:465,-86.68905848538856
2.533333333333333,0.0010028654386960943,404:588,284:579,513:508:483:300:776:257:806:465,-94.28915332881903
2.55,0.0010028654386960943,405:566,286:545,513:508:483:300:776:257:806:465,-100.00797980144135
2.566666666666667,0.0010028654386960943,408:546,290:516,513:507:483:299:776:257:806:465,-104.2645122980799
2.5833333333333335,0.0010028654386960943,412:529,297:491,513:507:483:299:776:257:806:465,-108.2853518273195
2.6,0.0010028654386960943,416:515,304:470,513:507:483:299:776:257:806:465,-111.8895567699047
2.6166666666666667,0.0010028654386960943,422:502,311:452,513:509:482:301:776:256:808:464,-114.24920441040139
2.6333333333333333,0.0010028654386960943,426:493,317:438,513:507:483:299:776:257:806:465,-116.77492488864554
2.65,0.0010022604890107566,430:485,322:427,513:511:481:302:776:256:808:465,-118.23744553816725
2.6666666666666665,0.0010016308552390704,432:480,326:419,512:507:482:299:776:257:806:465,-119.91920868855752
2.683333333333333,0.0010016308552390704,434:476,329:413,512:508:482:300:776:257:806:465,-120.96375653207352
2.7,0.001001606171152722,434:475,330:411,513:508:482:300:776:257:806:465,-121.60750224624891
2.716666666666667,0.001001606171152722,434:475,329:411,513:508:482:300:776:257:806:465,-121.36330221395008
2.7333333333333334,0.001001606171152722,433:477,327:415,512:508:481:300:776:257:807:465,-120.32360686255
2.75,0.001001606171152722,430:481,323:421,513:509:481:301:776:257:807:464,-119.28142706105902
