frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
1819.0,30.36727879799666,0.0009580615166944796,783:718,821:612,825:435:519:415:533:196:839:216,-0.34421868298246766
1820.0,30.38397328881469,0.0009580615166944796,800:714,823:609,825:435:519:415:533:196:839:216,-0.21564170991446988
1821.0,30.400667779632723,0.0009580615166944796,818:713,836:610,825:435:519:415:533:196:839:216,-0.17301015067716222
1822.0,30.417362270450752,0.0009580615166944796,837:714,845:613,825:435:519:415:533:197:839:216,-0.07904289417859259
1823.0,30.43405676126878,0.0009580615166944796,856:716,858:615,825:434:519:414:533:196:840:216,-0.019799392566392866
1824.0,30.45075125208681,0.0009580615166944796,875:718,872:619,825:433:519:413:533:196:840:216,0.0302937599187751
1825.0,30.467445742904843,0.0009580615166944796,897:724,887:621,825:433:519:413:533:196:840:216,0.09678404510747393
1826.0,30.484140233722872,0.0009580615166944796,918:726,900:626,825:434:519:414:533:196:839:216,0.17809293823119754
1827.0,30.5008347245409,0.0009580615166944796,934:730,912:631,825:435:519:414:533:196:840:216,0.21866894587394195
1828.0,30.517529215358934,0.0009580615166944796,949:736,924:637,825:435:519:414:533:196:840:216,0.24735395557182352
1829.0,30.534223706176963,0.0009580615166944796,962:741,934:643,825:435:519:414:533:196:839:216,0.27829965900511133
1830.0,30.550918196994992,0.0009580615166944796,973:747,944:650,825:435:519:414:533:196:839:216,0.2905107209663739
1831.0,30.56761268781302,0.0009580615166944796,984:754,963:654,825:435:519:414:533:196:840:216,0.206992194219821
1832.0,30.584307178631054,0.0009580615166944796,993:761,973:661,824:435:519:414:533:196:839:216,0.19739555984988075
1833.0,30.601001669449083,0.0009580615166944796,1002:767,981:668,824:435:519:415:533:196:839:216,0.20902294280626463
1834.0,30.617696160267112,0.0009580615166944796,1011:774,987:675,824:435:519:415:533:196:838:216,0.23783592745745075
1835.0,30.63439065108514,0.0009580615166944796,1020:780,989:683,824:435:519:415:533:196:838:216,0.30932883307468706
1836.0,30.651085141903174,0.0009580615166944796,1024:788,991:685,824:435:519:415:534:196:838:216,0.31005518123095327
